Date,close_real,real,proba_sobe,pred,acerto
2023-01-31,4020.43994140625,1,0.5512,1,1
2023-02-01,4037.199951171875,0,0.5549,1,0
2023-02-02,4141.8798828125,1,0.5568,1,1
2023-02-03,4123.35986328125,1,0.5588,1,1
2023-02-06,4093.3798828125,0,0.5568,1,0
2023-02-07,4088.389892578125,1,0.5556,1,1
2023-02-08,4111.669921875,1,0.5544,1,1
2023-02-09,4069.669921875,1,0.5539,1,1
2023-02-10,4060.7900390625,1,0.5533,1,1
2023-02-13,4092.669921875,0,0.5552,1,0
2023-02-14,4095.010009765625,0,0.5544,1,0
2023-02-15,4103.97998046875,1,0.5562,1,1
2023-02-16,4089.489990234375,1,0.558,1,1
2023-02-17,4047.949951171875,1,0.5544,1,1
2023-02-21,3995.18994140625,0,0.5549,1,0
2023-02-22,3976.89990234375,1,0.5529,1,1
2023-02-23,3969.18994140625,1,0.5543,1,1
2023-02-24,3943.080078125,0,0.5541,1,0
2023-02-27,3973.550048828125,1,0.5528,1,1
2023-02-28,3968.97998046875,1,0.5571,1,1
2023-03-01,3939.050048828125,1,0.5571,1,1
2023-03-02,3928.159912109375,0,0.5544,1,0
2023-03-03,3995.169921875,0,0.5542,1,0
2023-03-06,4044.610107421875,0,0.5541,1,0
2023-03-07,3980.31005859375,1,0.5557,1,1
2023-03-08,3969.760009765625,0,0.5539,1,0
2023-03-09,3908.699951171875,0,0.5526,1,0
2023-03-10,3846.320068359375,1,0.554,1,1
2023-03-13,3808.860107421875,1,0.5536,1,1
2023-03-14,3873.6298828125,1,0.5524,1,1
2023-03-15,3838.239990234375,0,0.5537,1,0
2023-03-16,3864.110107421875,0,0.5551,1,0
2023-03-17,3901.27001953125,0,0.5535,1,0
2023-03-20,3916.889892578125,0,0.5519,1,0
2023-03-21,3971.18994140625,0,0.5526,1,0
2023-03-22,3936.169921875,0,0.5539,1,0
2023-03-23,3919.050048828125,1,0.5516,1,1
2023-03-24,3909.159912109375,0,0.5516,1,0
2023-03-27,3970.489990234375,0,0.5535,1,0
2023-03-28,3951.530029296875,0,0.5521,1,0
2023-03-29,3999.530029296875,1,0.5529,1,1
2023-03-30,4032.10009765625,1,0.5488,1,1
2023-03-31,4056.179931640625,0,0.5463,1,0
2023-04-03,4098.7900390625,0,0.5439,1,0
2023-04-04,4086.8701171875,0,0.5478,1,0
2023-04-05,4072.56005859375,0,0.5492,1,0
2023-04-06,4069.840087890625,0,0.5523,1,0
2023-04-10,4072.550048828125,1,0.5586,1,1
2023-04-11,4102.60986328125,0,0.5582,1,0
2023-04-12,4086.93994140625,1,0.5579,1,1
2023-04-13,4099.39990234375,1,0.5575,1,1
2023-04-14,4113.2001953125,1,0.5613,1,1
2023-04-17,4123.18017578125,1,0.5584,1,1
2023-04-18,4140.35986328125,0,0.5565,1,0
2023-04-19,4134.490234375,0,0.5554,1,0
2023-04-20,4114.56982421875,0,0.556,1,0
2023-04-21,4113.85986328125,1,0.5574,1,1
2023-04-24,4117.77001953125,0,0.5541,1,0
2023-04-25,4071.3798828125,1,0.5544,1,1
2023-04-26,4049.35009765625,1,0.554,1,1
2023-04-27,4075.2900390625,1,0.5552,1,1
2023-04-28,4127.18017578125,1,0.5532,1,1
2023-05-01,4164.1201171875,0,0.5527,1,0
2023-05-02,4089.719970703125,0,0.5533,1,0
2023-05-03,4088.860107421875,0,0.5534,1,0
2023-05-04,4048.280029296875,1,0.5547,1,1
2023-05-05,4084.72998046875,1,0.5537,1,1
2023-05-08,4123.81005859375,0,0.5531,1,0
