Date,close_real,real,proba_sobe,pred,acerto
2023-01-31,4020.43994140625,1,0.3771,0,0
2023-02-01,4037.199951171875,0,0.6703,1,0
2023-02-02,4141.8798828125,1,0.5355,1,1
2023-02-03,4123.35986328125,1,0.7081,1,1
2023-02-06,4093.3798828125,0,0.3324,0,1
2023-02-07,4088.389892578125,1,0.8316,1,1
2023-02-08,4111.669921875,1,0.7999,1,1
2023-02-09,4069.669921875,1,0.5441,1,1
2023-02-10,4060.7900390625,1,0.6882,1,1
2023-02-13,4092.669921875,0,0.4168,0,1
2023-02-14,4095.010009765625,0,0.2371,0,1
2023-02-15,4103.97998046875,1,0.6353,1,1
2023-02-16,4089.489990234375,1,0.7946,1,1
2023-02-17,4047.949951171875,1,0.4954,0,0
2023-02-21,3995.18994140625,0,0.6102,1,0
2023-02-22,3976.89990234375,1,0.7389,1,1
2023-02-23,3969.18994140625,1,0.7526,1,1
2023-02-24,3943.080078125,0,0.3029,0,1
2023-02-27,3973.550048828125,1,0.3212,0,0
2023-02-28,3968.97998046875,1,0.7592,1,1
2023-03-01,3939.050048828125,1,0.4362,0,0
2023-03-02,3928.159912109375,0,0.533,1,0
2023-03-03,3995.169921875,0,0.3406,0,1
2023-03-06,4044.610107421875,0,0.6316,1,0
2023-03-07,3980.31005859375,1,0.6714,1,1
2023-03-08,3969.760009765625,0,0.3736,0,1
2023-03-09,3908.699951171875,0,0.3204,0,1
2023-03-10,3846.320068359375,1,0.746,1,1
2023-03-13,3808.860107421875,1,0.7816,1,1
2023-03-14,3873.6298828125,1,0.5306,1,1
2023-03-15,3838.239990234375,0,0.7847,1,0
2023-03-16,3864.110107421875,0,0.3233,0,1
2023-03-17,3901.27001953125,0,0.7923,1,0
2023-03-20,3916.889892578125,0,0.3575,0,1
2023-03-21,3971.18994140625,0,0.5558,1,0
2023-03-22,3936.169921875,0,0.6056,1,0
2023-03-23,3919.050048828125,1,0.7408,1,1
2023-03-24,3909.159912109375,0,0.4731,0,1
2023-03-27,3970.489990234375,0,0.5621,1,0
2023-03-28,3951.530029296875,0,0.5767,1,0
2023-03-29,3999.530029296875,1,0.6847,1,1
2023-03-30,4032.10009765625,1,0.7761,1,1
2023-03-31,4056.179931640625,0,0.4481,0,1
2023-04-03,4098.7900390625,0,0.2845,0,1
2023-04-04,4086.8701171875,0,0.6423,1,0
2023-04-05,4072.56005859375,0,0.2294,0,1
2023-04-06,4069.840087890625,0,0.3269,0,1
2023-04-10,4072.550048828125,1,0.4433,0,0
2023-04-11,4102.60986328125,0,0.5382,1,0
2023-04-12,4086.93994140625,1,0.6529,1,1
2023-04-13,4099.39990234375,1,0.6699,1,1
2023-04-14,4113.2001953125,1,0.6002,1,1
2023-04-17,4123.18017578125,1,0.6372,1,1
2023-04-18,4140.35986328125,0,0.6401,1,0
2023-04-19,4134.490234375,0,0.2014,0,1
2023-04-20,4114.56982421875,0,0.3584,0,1
2023-04-21,4113.85986328125,1,0.8171,1,1
2023-04-24,4117.77001953125,0,0.5461,1,0
2023-04-25,4071.3798828125,1,0.7563,1,1
2023-04-26,4049.35009765625,1,0.8377,1,1
2023-04-27,4075.2900390625,1,0.6406,1,1
2023-04-28,4127.18017578125,1,0.7097,1,1
2023-05-01,4164.1201171875,0,0.5049,1,0
2023-05-02,4089.719970703125,0,0.3424,0,1
2023-05-03,4088.860107421875,0,0.5875,1,0
2023-05-04,4048.280029296875,1,0.6479,1,1
2023-05-05,4084.72998046875,1,0.6931,1,1
2023-05-08,4123.81005859375,0,0.4344,0,1
2023-05-09,4116.64990234375,1,0.2603,0,0
2023-05-10,4098.919921875,1,0.7306,1,1
2023-05-11,4109.2900390625,1,0.4074,0,0
2023-05-12,4099.1201171875,1,0.6968,1,1
2023-05-15,4110.27001953125,0,0.5263,1,0
2023-05-16,4109.85986328125,0,0.5987,1,0
2023-05-17,4113.6201171875,0,0.5958,1,0
