Date,close_real,real,proba_sobe,pred,acerto
2023-01-31,4020.43994140625,1,0.3559,0,0
2023-02-01,4037.199951171875,0,0.7268,1,0
2023-02-02,4141.8798828125,1,0.501,1,1
2023-02-03,4123.35986328125,1,0.7568,1,1
2023-02-06,4093.3798828125,0,0.3601,0,1
2023-02-07,4088.389892578125,1,0.8101,1,1
2023-02-08,4111.669921875,1,0.8345,1,1
2023-02-09,4069.669921875,1,0.6785,1,1
2023-02-10,4060.7900390625,1,0.7084,1,1
2023-02-13,4092.669921875,0,0.5004,1,0
2023-02-14,4095.010009765625,0,0.2895,0,1
2023-02-15,4103.97998046875,1,0.566,1,1
2023-02-16,4089.489990234375,1,0.8231,1,1
2023-02-17,4047.949951171875,1,0.6243,1,1
2023-02-21,3995.18994140625,0,0.711,1,0
2023-02-22,3976.89990234375,1,0.7714,1,1
2023-02-23,3969.18994140625,1,0.7671,1,1
2023-02-24,3943.080078125,0,0.4798,0,1
2023-02-27,3973.550048828125,1,0.3523,0,0
2023-02-28,3968.97998046875,1,0.8115,1,1
2023-03-01,3939.050048828125,1,0.513,1,1
2023-03-02,3928.159912109375,0,0.6955,1,0
2023-03-03,3995.169921875,0,0.397,0,1
2023-03-06,4044.610107421875,0,0.6416,1,0
2023-03-07,3980.31005859375,1,0.6949,1,1
2023-03-08,3969.760009765625,0,0.402,0,1
2023-03-09,3908.699951171875,0,0.307,0,1
2023-03-10,3846.320068359375,1,0.7937,1,1
2023-03-13,3808.860107421875,1,0.8153,1,1
2023-03-14,3873.6298828125,1,0.5946,1,1
2023-03-15,3838.239990234375,0,0.8321,1,0
2023-03-16,3864.110107421875,0,0.3702,0,1
2023-03-17,3901.27001953125,0,0.7982,1,0
2023-03-20,3916.889892578125,0,0.3388,0,1
2023-03-21,3971.18994140625,0,0.5846,1,0
2023-03-22,3936.169921875,0,0.6931,1,0
2023-03-23,3919.050048828125,1,0.7615,1,1
2023-03-24,3909.159912109375,0,0.4212,0,1
2023-03-27,3970.489990234375,0,0.6351,1,0
2023-03-28,3951.530029296875,0,0.627,1,0
2023-03-29,3999.530029296875,1,0.743,1,1
2023-03-30,4032.10009765625,1,0.7707,1,1
2023-03-31,4056.179931640625,0,0.4427,0,1
2023-04-03,4098.7900390625,0,0.3076,0,1
2023-04-04,4086.8701171875,0,0.7059,1,0
2023-04-05,4072.56005859375,0,0.2593,0,1
2023-04-06,4069.840087890625,0,0.3505,0,1
2023-04-10,4072.550048828125,1,0.5289,1,1
2023-04-11,4102.60986328125,0,0.7157,1,0
2023-04-12,4086.93994140625,1,0.8129,1,1
2023-04-13,4099.39990234375,1,0.7916,1,1
2023-04-14,4113.2001953125,1,0.641,1,1
2023-04-17,4123.18017578125,1,0.7073,1,1
2023-04-18,4140.35986328125,0,0.7001,1,0
2023-04-19,4134.490234375,0,0.2926,0,1
2023-04-20,4114.56982421875,0,0.3462,0,1
2023-04-21,4113.85986328125,1,0.8001,1,1
2023-04-24,4117.77001953125,0,0.5811,1,0
2023-04-25,4071.3798828125,1,0.7813,1,1
2023-04-26,4049.35009765625,1,0.81,1,1
2023-04-27,4075.2900390625,1,0.7156,1,1
2023-04-28,4127.18017578125,1,0.7947,1,1
2023-05-01,4164.1201171875,0,0.7083,1,0
2023-05-02,4089.719970703125,0,0.3593,0,1
2023-05-03,4088.860107421875,0,0.6139,1,0
2023-05-04,4048.280029296875,1,0.6259,1,1
2023-05-05,4084.72998046875,1,0.6269,1,1
2023-05-08,4123.81005859375,0,0.4739,0,1
2023-05-09,4116.64990234375,1,0.3251,0,0
2023-05-10,4098.919921875,1,0.6532,1,1
2023-05-11,4109.2900390625,1,0.4342,0,0
2023-05-12,4099.1201171875,1,0.7369,1,1
2023-05-15,4110.27001953125,0,0.5624,1,0
2023-05-16,4109.85986328125,0,0.6356,1,0
2023-05-17,4113.6201171875,0,0.5256,1,0
2023-05-18,4153.5,1,0.664,1,1
2023-05-19,4180.2001953125,0,0.6018,1,0
2023-05-22,4179.68017578125,0,0.3283,0,1
2023-05-23,4142.5400390625,1,0.4273,0,0
2023-05-24,4103.97998046875,1,0.7467,1,1
2023-05-25,4129.72998046875,1,0.784,1,1
2023-05-26,4156.16015625,0,0.4882,0,1
2023-05-30,4192.18017578125,0,0.4058,0,1
2023-05-31,4166.14990234375,0,0.3572,0,1
2023-06-01,4171.64013671875,1,0.6615,1,1
2023-06-02,4241.009765625,1,0.7305,1,1
2023-06-05,4266.81982421875,0,0.753,1,0
2023-06-06,4263.08984375,0,0.6954,1,0
2023-06-07,4263.9599609375,1,0.6424,1,1
2023-06-08,4261.06982421875,0,0.7537,1,0
2023-06-09,4291.7001953125,1,0.5071,1,1
2023-06-12,4304.3701171875,0,0.7096,1,0
2023-06-13,4349.31005859375,1,0.4598,0,0
2023-06-14,4337.85009765625,1,0.7542,1,1
2023-06-15,4362.60009765625,1,0.738,1,1
2023-06-16,4407.43994140625,0,0.5212,1,0
2023-06-20,4367.18994140625,0,0.5473,1,0
2023-06-21,4360.14013671875,0,0.398,0,1
2023-06-22,4351.81982421875,1,0.5725,1,1
